,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
SDG2,1.0000,38.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
SDG3,2.0000,0.0000,16.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,0.0000,0.0000,0.0000,1.0000,2.0000
SDG4,1.0000,0.0000,0.0000,40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SDG5,0.0000,0.0000,4.0000,0.0000,27.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000
SDG6,0.0000,1.0000,0.0000,0.0000,0.0000,43.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000
SDG7,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,43.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
SDG8,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,0.0000,16.0000,3.0000,2.0000,3.0000,0.0000,1.0000,0.0000,0.0000,1.0000,2.0000
SDG9,0.0000,0.0000,0.0000,1.0000,2.0000,1.0000,0.0000,0.0000,20.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
SDG10,3.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
SDG11,1.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,15.0000,2.0000,5.0000,0.0000,1.0000,0.0000,0.0000
SDG12,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,28.0000,0.0000,0.0000,2.0000,0.0000,6.0000
SDG13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,0.0000,26.0000,1.0000,1.0000,0.0000,2.0000
SDG14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,0.0000,29.0000,2.0000,0.0000,1.0000
SDG15,0.0000,2.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,5.0000,29.0000,0.0000,1.0000
SDG16,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,31.0000,0.0000
SDG17,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,1.0000,6.0000,2.0000,1.0000,1.0000,7.0000,0.0000,1.0000,0.0000,8.0000
